TEXT,MANUAL LABEL,AUTO LABEL
"START NEXT ""Good morningI'm ### ### and I practice Child Welfare Child Support and Custody in ### County. I must preface my answer that the guidance I'm providing you does not reflect my personal opinions but is more of a reflection of my knowledge of the laws of TN and my experience of practicing Child Welfare for a number of years.The concerns you've expressed are more lifestyle choices. The possession of firearms in your home is a fundamental right. If the child's mother was present during the ### of firearms and she didn't object that is not actionable because she has the right to make parenting decisions while the child is with her. The presence of firearms in the home would be an issue if someone in the home (the bf) wasn't allowed by law to possess firearms. If by chance he was a felon.Same with the motorcycle issue. If the motorcycle operator is properly licensed and has a helmet and following other road safety laws then there is nothing actionable there either. If by chance the bf is not properly licensed there is a problem but not likely enough to change custody. The judge will admonish the child's mother to not let it happen again.In your situation there isn't enough for a judge to change the primary residential parent. I know that's not what you wanted to hear.""",0,0
"START NEXT ""Dear Mr. ###Only the original court (Colorado) which issued the spousal support judgment can modify it under the Uniform Interstate Family Support Act (UIFSA).  Jurisdiction to modify a maintenance judgment cannot be ""transferred"" to ay other state from Colorado.  ### adoption of this section of UIFSA appears below:454.###545.  Continuing exclusive jurisdiction to modify spousal support order. â€‿ (a)  A tribunal of this state issuing a spousal support order consistent with the law of this state has continuing exclusive jurisdiction to modify the spousal support order throughout the existence of the support obligation.â€ƒ (b)  A tribunal of this state may not modify a spousal support order issued by a tribunal of another state or a foreign country having continuing exclusive jurisdiction over that order under the law of that state or foreign country.â€ƒ (c)  A tribunal of this state that has continuing exclusive jurisdiction over a spousal support order may serve as:â€ƒ (###)  an initiating tribunal to request a tribunal of another state to enforce the spousal support order issued in this state; orâ€ƒ (###)  a responding tribunal to enforce or modify its own spousal support order.Â­Â­In order to seek a modification of a maintenance judgment you will need to file in Colorado.  UIFSA permits registration of another state's maintenance judgment for enforcement purposes but prohibits modification except by the original court.As in Missouri I doubt you will be able to find any free legal services in Colorado for modification of a spousal support order  Best wishes.""",0,0
START,0,0
START,0,0
"START NEXT ""In Tennessee there are two types of divorces: uncontested and contested. In a contested divorce the spouses cannot agree and have to go to trial. Grounds for contested divorce in TN include abandonment or refusal or neglecting to provide for spouse although able to do so. Abandonment is when one spouse deliberately abandons the other spouse without justification for the purpose of ending the marriage. The abandonment period needs to be at least one year long.  Is your husband's name on the deed to the home? If so he will have to consent to the sale. Even if his name is not on the deed depending on how long you have been living in the home it will likely be considered to be the marital residence. Because of this he will most likely need to consent to the sale because he has a legal interest in the property. Additionally your husband may be entitled to income generated from the sale. The ultimate burden will be on you to prove that the home is non-martial property which would allow you to go about the sale without his consent. If you decide to file for divorce you can ask the court for temporary exclusive use and possession of the home. The court might order him to move out before the end of the divorce proceeding but they also might wait until the end. Because it sounds like your daughter and granddaughter are also living on the property the court will also take that into consideration when making their decision. """,0,0
"START NEXT ""You (or your daughter) are entitled to inquire of the sheriff's department who made the complaint regarding your granddaughter. However the sheriff's department probably is not be obligated to provide that information. It may be better if first you check with friends and family for a recommendation of a local attorney or ### who has a good relationship with the sheriff's department who can make the information request on your behalf.""",0,0
"START NEXT ""Sorry to hear about this situation. If you have nothing in writing stating that you were to be the owner of the property at the some time you likely will not have a way to overcome a valid and recorded beneficiary deed. The beneficiary deed you had did not come into play until your parents died. It could be changed before that happened. Sorry this happened to you. I have to assume the beneficiary deed was changed before your parents' death. Is that correct?Merely living there and paying taxes does not give you any rights to the ownership in light of the beneficiary deed giving the property to your sister. "" NEXT ""The home is a modular house on a fixed foundation the title is in my name. With that is it considered part of the land then. Also living here ###."" NEXT ""Is Adverse possession possible & what would it involve."" NEXT ""It may be possible. Here is a link to a lawyer website. I do not know this lawyer but he sets out the requirements. It would require you to find a lawyer to file suit on your  behalf. You must proceed through the courts to obtain the ownership. I don't know if you meet the ###. Check with the lawyer you find to help you pursue this. ###/""",0,0
"START NEXT ""Landlord entering without permission is both trespass and breach of the covenant of quiet enjoyment. You could use that to potentially break your lease without penalty. But your goal is to stay not leave. You should notify your landlord in writing of suspected breaches to create a written record and demand compliance.""Executive Order ###.### ###th so long as the non-payment of rent or mortgage is by â€œsomeone that is eligible for unemployment insurance or benefits under state or federal law or otherwise facing financial hardship due to the COVID-###.â€¿ https://www.mintz.com/insights-center/viewpoints/2436/###0-05-08-updated-new-york-state-stays-evictions-and-foreclosuresIf you notify your landlord in writing email ### that you have suffered ""financial hardship"" due to COVID-19 (and you have) then you cannot be evicted until ###. If you have not suffered financial hardship you can be evicted now as the moratorium expired ###. If you do not qualify for the ### extension and have not notified landlord then you could be served any day for eviction based on breach of the lease if you have breached it.If you feel the landlord is harassing you call ### ### explain the situation and see where they refer you. Yes landlord harassment can be unlawful. You should request that they stop contacting you. Additionally review this: https://www1.nyc.gov/site/hpd/services-and-information/report-tenant-harassment.pageIt is generally advisable to have all communications with potentially adverse parties in writing to serve as evidence if there is a proceeding later. So going forward you should communicate via email ideally or text message or postal mail (return receipt requested or proof of mailing).Creating a written record can of course be a ### sword used against you so it's also always advisable to have an attorney advise you or represent you with such communications but on the whole having a written record is generally beneficial with the positive outweighing the negative especially with a plaintiff who bears the burden of proof.It is generally advisable to seek a second opinion on all legal matters.You may qualify for direct free legal representation or find other valuable information at the resources provided here https://ny.freelegalanswers.org/OtherHelp.New York Legal Assistance Groupâ€™s (NYLAG) NY COVID-###  Hotline helps New York City residents impacted by COVID-19 (coronavirus) get answers to their legal questions. Those affected can call ###-### from 7am-1pm Monday-Fridays to leave a message. When leaving a message please leave your name best number to call you back and a description of your issue. We will follow-up within two business days with every best attempt to get back to you on the same day. https://www.nylag.org/hotline/?utm_source=website&utm_medium=pop-up&utm_campaign=hotline""",0,0
START,0,0
"START NEXT ""Hi ### Sorry to hear about your family difficulties. Assuming that you have court-ordered visitation between your boys and their father you would have to ask the court to change the agreement. The court might listen to the testimony of your boys. If your children are older the court might be more inclined to listen to your childâ€™s requests as far as parenting/visitation go. There are some great resources for you: www.mass.gov/child-custody-and-parenting-time I hope this information is helpful."" NEXT ""Thank you Mr SprouseThe links you added will come in handy because my ex-husband told the boy's and I he can no longer take the boys on Monday's and Friday's anymore.Best###""",1,1
START,0,0
START,0,0
"START NEXT ""I typically facilitate what I call an ""uncontested divorce.""  If you hire a lawyer try to find one that will not charge you a lot to complete the process.  At my office we do these types of cases for $### and $###.  If you call around other attorneys charge upward around $###### $### (which is not reasonable by my standards). If you try to do this yourself there are forms you can find at the clerks office or online at the clerk's website. I have attached the first set of forms so that you have them.  If the forms are overwhelming then I would talk to a lawyer. You mentioned that there are ""no custody issues with existing children"" so I'm guessing that you and your spouse don't have children?  If you do then don't use these forms there's a different package that you will need.  Let me know and I will send you the correct package.  The package with children is more involved so be mindful of that.Let me know if you have any other questions or concerns."" NEXT ""I'm going to close out this question so that I may address other questions on this forum.  Good luck.  If you have other questions you can visit my website at ### which has free articles touching on divorce and custody. """,0,0
"START NEXT ""Your attorney should have filed an advice of bankruptcy in the case in which the garnishment is occurring and ask the adverse party to release the garnishment.  If you filed on the 22nd it might not get stopped by the 24th but you should get any money back which was withheld.  If the creditor were to keep the money that would be a violation of the automatic stay.  You should speak to your bankruptcy attorney about this situation."" NEXT ""Hello. Thank you for your answer. We didn't file with an attorney. My husband's employer's accountant says she doesn't know how to deal with it and when to stop the garnishment. How do we know when to stop it?"" NEXT ""You should have sent a copy of the notice of bankruptcy to the ### who is garnishing your husband's paycheck.  The ### should then dismiss the garnishment and send a copy of the dismissal of the garnishment to your husband's employer.  In the perfect world this would happen quickly and any money they receive should be returned to you quickly.  If I were your husband's employer I would not stop the garnishment until I received the dismissal from the ###; this will protect the employer.  But the ### should return any money to you which they received after the bankruptcy is filed.""",0,0
"START NEXT ""Ms. ### What your company is doing to you sounds very unfair but not necessarily unlawful. Florida is a right to work state so employers can hire and fire people whenever they want and employees can apply and quit whenever they want. The only exception is that an employer cannot adversely affect someone's employment in a discriminatory manner. Employees are protected from discrimination based on ### (age sex religion race color disability and marital status). If you can show that you were not offered the position based on one of these protected classes then you may have a claim. If you are unable to show discrimination based on one of these classes your situation unfortunately falls into the unfar but not unlawful category. I hope this is helpful. Should you have any additional questions please do not hesitate to contact me.Sincerely ### ### Esq.### & ### P.A.###-######. ### Ave Suite A### Florida ######""",0,0
"START NEXT ""Your divorce from ### was granted in Oklahoma County case number ######.  In order to get custody you will need to file a motion to modify custody in that case with the court clerk in Oklahoma County.  You will need to set the matter for hearing with the judge and give ### notice of the action.  Then you will need to appear in court on the court date.  At the court date you will need to provide evidence and testimony showing the judge that there has been a substantial material and permanent change of condition affecting the child since the last court order (the decree granted on ###) and that it is in the best interest of your child that custody be granted to you.To my knowledge there are no ""forms"" for this kind of action.  You will need to find an attorney to prepare the pleadings file them with the court and do the other things necessary to change custody. """,0,0
"START NEXT ""Hello ### Thanks for Posting. Yes the landlord can ask for a ###. There are several resources you should check out one is whether the landlord can use the security deposit for rent until you get the the rent paid up . When they sue you for eviction you have a right to answer the eviction and have a trial on the matter. Normally this takes longer than ###.  The other resources is dialing ### ###. They may also know other resources concerning your situation. The ###. You might talk to your employer and see if there is someway they can extend you some money to find a different place to rent. Your girlfriend and her children can move into a shelter if need be. The shelter people in ### City might know of some place to rent too. You can file a waiver of filing fee in the lawsuit and I have attached that information.You can also contact of the Department of Social Services and see if you qualify for Food Stamps Temporary Assistance for Need Families ### and or Medicaid and Childrens Health Insurance program. """,0,1
"START NEXT ""Thank you for your inquiry regarding sealing your DeKalb County record. I had a chance to review the public access online records of your cases with the DeKalb County Circuit Court and see around ### 2006. In order to determine if any of those cases can be expunged or sealed your first step would be to obtain a fingerprint background report. This link provides information on how to get that: https://www.illinoislegalaid.org/legal-information/how-access-and-review-your-criminal-record. The easiest way is to go to your local police department to submit your fingerprints but you should call in advance to see if they have specific hours as well as to ask what the cost is for that service.Once you have that record an attorney would be able to review it and answer whether your criminal record can be cleared. Depending upon a review of your financial situation ### State Legal Services may be able to assist. Their number is ###. please let me know if you have any other specific questions I may be able to answer. """,0,1
"START NEXT ""Filing a good quality bankruptcy requires a comprehensive examination of your income expenses assets debts and financial history for at least the past six years. You should rely only on a qualified professional to do this for you. Although your post does not include enough information you may well indeed be judgment proof meaning that creditors cannot collect from you. The auto lender however may repossess its collateral (truck) if you do not continue to pay. Other than the repossession creditors may not be able to touch you. If that is the case bankruptcy does you no good and will waste money time and opportunity. If this is your situation tell creditors that you can't pay won't pay and to sue you if they deem necessary. Even if they get judgments they cannot collect.Good luck.""",0,0
START,0,0
"START NEXT ""That's going to depend on the situation. A few questions to understand what's going on: Did DCF tell you to sign guardianship over or did a judge? How old is the child? Is the court involved? If so what are the terms of the existing custody order? Who is trying to get guardianship? What does the child want? Is there an open investigation and/or related criminal proceedings?""",0,0
"START NEXT ""You can pay the debt through the clerk of the court asking for a receipt and asking that the case be dismissed by filing a motion to dismiss.  The clerk may not be willing to accept your payment without consent or input from the collector noting that the same is payment in full of the debt and costs of collection so you may have to contact them about your plans first.  If you prefer all of this will probably be taken care of by the law firm for the collection agency if you agree to pay them the amount owed. Just make sure that their agreement to dismiss is in writing before you pay them anything.   """,0,0
START,0,0
"START NEXT ""My advise is to file a petition in Family Court seeking custody on [x] date you want to take daughter on vacation."" NEXT ""Thatâ€™s the things the dates I wanna take her is my week already - I get her every other week .monday - Monday  & itâ€™s my week."" NEXT ""It looks like based solely on what you showed that nothing prohibits you from traveling with your daughter so long as you provide travel info as set forth in the order. I suggest you do it in writing. """,0,0
"START NEXT ""Mr. ###:Did a court order stop the child support back when you were paying in ###? Did you owe any back support?  Will the mother support your testimony that you have been helping her financially?  In most jurisdictions you would be entitled to a court appointed attorney if you are facing jail time.  I need the answers to the questions that I asked before I can give you more information.Thank you"" NEXT ""No back Support. The order stopped. I have reciepts for paying her rent. The mother will lie about everything."" NEXT ""The state of Tennessee got me for 42% of my check. And then said I was almost $###. And its only been since November. I dont know how Im can live on that and pay my bills to"" NEXT ""Mr. ###:I am not sure why the court ordered $6###.  Your employer is only allowed to take ###.  I would seek the advice of a private attorney at this point in your case. In ### County you would have ### but I'm not sure about ### County. You might want to check on that.""",0,0
START,0,0
"START NEXT ""Hi ###Thank you for your detailed questions. Please see responses below in bold underlined font. A few questions below as well to follow-up:Has a FEMA inspector come to your house?Do you have a timeline of events that you can share? Appeals must be filed/postmarked within ###. Extensions are only granted under extenuating circumstances.Have you made a request to FEMA for your full file? If not you should request a copy of the full file from FEMA.Additionally the appeal must include:â€¢ Applicantâ€™s full name and signatureâ€¢ Last ###â€¢ Date of Birthâ€¢ FEMA registration numberâ€¢ Physical address of the damaged propertyâ€¢ Current mailing addressâ€¢ Disaster numberâ€¢ Request the FEMA File Does FEMA require a detailed list of costs for materials labor etc?It would be best to keep a detailed record of costs if possible. FEMA requires verification of the costs to determine eligibility for Individuals and Households Program (###) under the Individual Assistance Program and Policy Guide (IAPPG). That can be done via on-site inspection by a FEMA Inspector geospatial inspection or review of receipts and other documentation by FEMA. Already the estimate for the roof repairs exceeds the award amount. Should a copy of that estimate be included in the appeal letter? Should they be provided with an estimate for costs of other materials such as cleaning supplies to remove mold?Assuming you have received a letter from FEMA appealing a decision usually requires more than just an appeal letter. The letter should be accompanied by supporting documentations including quotes related to repairs contractors statements or estimates other receipts for expenses caused by the disaster etc. Does FEMA require a detailed explanation for why certain repairs need to be made? They do for many of the same reasons stated above. In your narrative you should do what you can to link your explanation of repairs as being necessary expenses related to serious needs and that such expenses were directly caused by a declared disaster.Are there community resources in New Orleans East to assist homeowners with this sort of thing in person?Sure thing! There is a Disaster Relief Clinic being held in New Orleans East onFriday ### from ### ###### Brown Community Center ###. New Orleans LA.""",0,1
"START NEXT ""If your husband (your daughterâ€™s step father) wants to adopt your daughter you would have to have the consent of her biological father OR ask the court to terminated the biological fatherâ€™s parental rights. To have the ### parental rights be terminated you would have to show that he deserted the child or that he is incompetent. To do this you would have to file a Complaint in Probate and Family Court of the county you are living in.""",0,0
"START NEXT ""If the deputy personally served your husband and even though your husband did not accept the service the service should be adequate. Please make sure that the deputy noted on the return of service filed with the court that the deputy did personally serve your husband. Acceptance of personal service by the person being served is not required.""",0,0
"START NEXT ""If you can prove the facts then you can pursue a claim.  Save the ice cream the shell the receipt if you have it and document everything with photographs.  Photograph the involved teeth and have the damage documented by a dentist. Contact the company and tell them what happened.  Ask them to put you in touch with a claims representative so you can share the photos and documentation.  If they ask you to turn over the ice cream and the pecan shell be sure to take several photographs of anything you turn over to them and keep copies of all documents and photos you send to them.  If you prove the facts you are entitled to recover damages including the costs of any repairs directly caused by their product along with pain and suffering and lost wages if you miss work due to the repairs.  "" NEXT ""What if I'm unable to afford a dentist due to covid?"" NEXT ""You can still submit your information to the company particularly the photographs of the teeth and see what response you get. The trouble will be ### the cost of the repair.  The company may need that to evaluate your claim and it will be hard for you to know what the repair cost will be without seeing a dentist."" NEXT ""Thank you and last question... will a receipt be absolutely necessary if it was a convenient store purchase and I tossed the receipt. I just never expected this to happen"" NEXT ""IF you still have the product -- the ice cream container - and the shell and have photos hopefully that will be enough.  Most people don't save receipts.  Make a note of the date and place you purchased.  They will likely want to know so they can figure out which plant produced the ice cream you bought.  Good luck!""",1,0
"START NEXT ""Hi Ms. BowlingIt appears from the Order Terminating Guardianship that you have attached that your visitation rights are at the discretion of ### and must be supervised by ###. Have you tried contacting her to set up a time to see your daughter? If not I would start by contacting her. If you aren't able to reach ### I suggest reaching out to an attorney for assistance in determining if circumstances have changed enough to warrant a modification to the current custody/visitation arrangements.ThanksDequeshia""",0,1
START,0,0
"START NEXT ""If you have resided in Tennessee for at least six months you may file your divorce complaint in Tennessee even though your husband resides in Oklahoma and will not agree to a divorce. While we think it unlikely you may be able to proceed without the assistance of a lawyer since you have prepared your own complaint.If you are indigent you may qualify for the services of the following agency or they may be able to recommend a local attorney:Legal Aid Society of Middle Tennessee Inc. ### 3rd Street ### TN ### ###""",0,0
START,0,0
"START NEXT ""There is nothing you can do to keep him from failing to return the children.  Until you have a court order which sets out the parenting time for him he has equal parenting rights with you.  Your fears are grounded ones so don't send the children with him.After you file for divorce you can set up a temporary hearing to set his parenting time and child support.Have you contacted the legal services office for your county?  They may be able to assist you.  You can get contact information at this site:  ###/.Good luck to you.""",0,0
START,0,0
"START NEXT ""Thank you for your question.  Someone is lying to you.  A bank cannot issue a judgment it must be done through the courts and you must be given proper notice including being served with a lawsuit.  If this hasn't gone through their attorneys it sounds like they have not gone to the courts yet.  They also cannot just place a lien on your property without going through legal channels.  I recommend that you tell the bank that you will only respond to written correspondence from now on and stop answering the phone when they call.  Under fair debt collection laws the bank must give you written correspondence if you request it.  Make sure to keep every scrap of paper they send you and copies of every piece of paper you send them.I suggest that you contact South Carolina Legal Services for help.  They have attorneys who can help you negotiate with the bank and figure out what your rights are if these people try to sue you for your credit card balance.  South Carolina Legal Services can be reached at ###.  Good luck.""",0,1
"START NEXT ""Hi ###I'm so sorry about this difficulty I know that DHCD can be hard to work with.  I agree with you that as long as you did not sell the house for the purpose of becoming eligible for EA that should not disqualify you (plus it's now been over one year). However there is a law about the assets of a sale of a home which says that if DHCD can prove the use of the assets were not ""reasonable"" then they can deny you.  The law is  ### c. ### Â§ 30(B) and it says: Emergency housing assistance shall be denied to a family who at any time within ### has depleted assigned or transferred real or personal property that would have rendered such family ineligible for assistance if the ### transfer or assignment was not reasonable at the time or was not for good cause reasons. For purposes of the preceding sentence good cause reasons shall include but not be limited to that the funds were expended for necessary or reasonable costs of living such as rent utilities food health related needs education related expenses or transportation.Here is information from our EA Advocacy guide which you can find here:https://www.massle###ervices.org/content/7-what-are-ea-transfer-asset-rules""Good cause"" reasons for this rule include but are not limited to that the funds were spent for necessary or reasonable costs of living such as rent utilities food health-related needs ### expenses or transportation.  As of this writing DHCD has not yet revised its re###tions to include the ###.So they may be within their right to ask for receipts and information about how you spent te money.  However different intake offices do things differently and they don't always follow the rules correctly.  I would advise you to contact Community Le###Aid which serves ### County and see if they can help you understand what is going on and whether it's proper.  You can call them at ###-### or go to their website:https://communityle###org/get-help/how-get-helpFeel free to email again if you are not able to get through.Thank you###""",0,1
"START NEXT ""Tennessee is a one party consent state which means if either party consents to the recording (including the person doing the recording) it is not illegal unless something else Makes it illegal."" NEXT ""Her costing my job and infringing on my privacy at work all because she was mad I wouldnâ€™t take her shift doesnâ€™t make it illegal or harassment when she was showing the video to customers and other employees "" NEXT ""And him refusing to take me to the hospital wouldnâ€™t that mean he canâ€™t honestly say I had been drinking I didnâ€™t smell like alcohol "" NEXT ""This is actually a different question than the one you asked.  You asked whether recording someone without their consent is legal.Showing the video to others and portraying it in a fake light is a harder call.  Showing the video with no commentary is probably not a problem because it is truthful.  But if she says you were drunk and that is false it could be defamation.but these types of â€œprivacy tortsâ€¿ are almost impossible to win in court.  """,0,0
"START NEXT ""Hi ###.  To get full custody of your daughter you will need to ask the Court to issue an order.  The Court will have a hearing and will decide what is in the best interest of your child to set parenting time and visitation.  Here is information on a free legal provider in your area that may be able to help.  Thanks and take care.Indiana Legal Services Inc. â€“ ###Serving residents of ### Brown and ### CountiesAssistance possible for the following legal issues: Family Law Consumer Law Senior Law Housing Public Benefits Expungement and Driving Issues###. College Avenue### IN 47404Office: ###Fax: ###Toll Free: ###Spanish speaking staff availableIntake Phone: ###Intake Hours: Monday-Friday 10:###-2:### (EST)Click here to apply online: Indiana Legal Services Online Application""",0,0
"START NEXT ""They almost always will set aside the default and hear the case on its merits.  I have never seen a default enforced when a motion to set aside is filed no matter the accuracy.  He is correct in his response that you are not entitled to a default if you didn't file a non-military affidavit.  Family court does not allow one side to get any advantages by using procedural means such as defaults or time limits.  For instance if something like a financial disclosure is past due you cannot win a motion to compel discovery unless you have sent a letter giving them a time limit to respond.  The only real reprocussion for delay is possibly having to pay the opposing ### attorney fees for the filing of the motion to compel.  As for the inaccuracy of his motion to set aside the Court won't listen to it because the point is moot if the non-military affidavit was not filed.  I understand this is a terrible time.  You should consider retaining an attorney.  If you can come up with some money to get them started most family law attorneys would take your case because they can make your husband pay your attorneys fees if he has a lot more money than you.  I hope that helps.  """,0,0
"START NEXT ""Whether you sue him or not you can only collect the book value of the car.  He doesn't legally owe more than that.  If his insurance pays you the book value he doesn't owe you anything more.""",0,0
"START NEXT ""As stated in the user agreement for this forum questions relating to criminal matters are not permitted.  This site is limited to civil law questions only.  You should retain a local attorney for advice and representation promptly.  Thank you.""",1,1
START,0,0
"START NEXT ""Ms. ### an open adoption is one in which the adoptive parents and the biological parents are known to each other but such an adoption still terminates the parental rights of the biological mother. Some open adoptions include an agreement that specifies the visitation and other contact  the biological parent is to have with the child placed for adoption but without such an agreement you would have no basis for insisting that you be allowed to visit or have contact with the children. The best course of action the situation probably is to reach out to the adoptive parents and expressed a desire to meet the children when they think such a meeting would be appropriate. Best of luck to you.""",0,0
START,0,0
"START NEXT ""Hello I am a retired Massachusetts lawyer who has volunteered to respond to some of the landlord-tenant questions on Mass. Legal Answers On-Line (""MLAO"").  I will next be on-line on ###.  I will try to respond helpfully to your message.In general Massachusetts lease law binds each party to the ###s of the lease; and in the event of a premature vacate by the tenant the landlord is required to try to mitigate his losses by renting the apartment to another tenant as soon as possible at a fair market rent (which would end the tenant's lease obligation to pay the agreed rent for the rest of the agreed ###).  So it appears that the landlord in your case has asked you to ""sublet [your] room"" instead of the landlord's re-renting the apartment as soon as it can.  ""Sublet"" implies that you would be held to pay the remaining lease rent if your sub-tenant prematurely vacated the premises or stopped paying rent before the end of your lease ###. If you definitely are not going to move into this apartment I suggest that you notify the landlord [name on lease] and any manager and any attorney for the landlord of your decision not to take possession as planned and request that they start immediately to take steps to re-rent the apartment to another tenant to mitigate any rent claims that they might assert against you.  (Keep photocopies of your notices preferably sent by certified mail return receipt requested for potential legal purposes.  I think but am not certain that providing your mailing address in ### might be a good idea too because you could receive notices and correspondence there.  You might consider offering a check in the amount that you think is fair specifically noting on the check that it is to settle any claims by the landlord in connection with your withdrawing from the lease for good cause.)I am not sure what you meant by ""Prove that [you are] being forced to leave the U.S.""  Or rather I do not know what the landlord meant by that demand.  If they used the rather vague words ""prove"" and ""forced"" you probably could offer enough documentary evidence of those meanings -- your status as an international student the objective visa problems the cancellation of in-person classes or the exclusive nature of on-line classes etc.  You might find an ally at the Boston Globe -- I have seen its consumer affairs reporter solve writers' similar cancellation problems with time-share rentals (actually made impossible by international travel restrictions); and possibly he could intervene for you.  [Sorry I do not recall his name.]  On the other hand if they clearly meant that you are ""forced"" to leave because of your immigration status I have no ideas how to respond responsively to that demand.  (I did not do immigration law.)  You might just go ahead and provide your documentation of your reasons with your notice withdrawing from the lease and call it ""proof"" enough given the current pandemic and all other circumstances.  (If you plan to take on-line classes in ### simply to save money then you might calculate the cost of withdrawing from the Massachusetts lease in your valuation of your different options.)P.S.  I do not know your current circumstances or whereabouts and I do not know what legal action the landlord might take against you now or in the future.  Since you signed a Massachusetts lease it seems to me to be likely that the landlord could bring a legal action in Massachusetts courts which would have jurisdiction in connection with the lease claims against you even if you were then in ###.  A default judgment might be entered even if you did not appear in the Massachusetts case assuming it was properly accepted by the court.  You might have a right to transfer such a court case from the Massachusetts state courts to the U.S. federal courts; but I do not know if that transfer would actually help you.  If you are concerned about imminent or future legal proceedings against you it might be worthwhile for you to retain a competent Massachusetts attorney to look at your case and to advise you. Good luck.""",0,0
"START NEXT ""###The legal question you are asking is when is personal property left behind considered abandoned.  Unfortunately under Massachusetts law there is no clear time period that must run before property can be considered abandoned.   The law instead only requires that give notice of your intent to dispose of the property after giving a reasonable period of time to come claim it.  Here is what I recommend you do to protect yourself in case she later tries to come after you for getting rid of her property.Prepare an inventory of the abandoned personal property including a detailed list of the items and photographs that document each itemâ€™s condition.Move the property under the supervision of a neutral witness -- such as a neighbor who isnâ€™t involved in any disputes you may have with the tenant -- and store it in a safe place.  It can be somewhere on site.Write a letter to ex-roommate letting her know what the property is where it is and that you will dispose of it after a certain date if they donâ€™t reclaim it. Give the tenant at least two weeks to pick up the property.Hope this helps.Attorney ### ###""",0,0
